epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,7118.46,0.76665,0.4333,0.87247,0.83929,0.73181,0.79147,0.48358,1.19347,0.65325,0.99903,0.004159,0.004159,0.004159
61,7200.82,0.76101,0.43007,0.87032,0.83166,0.74171,0.79827,0.48651,1.19589,0.65273,1.00299,0.00406,0.00406,0.00406
62,7306.03,0.75773,0.42842,0.86998,0.87079,0.71183,0.7959,0.49095,1.19129,0.64621,1.00308,0.003961,0.003961,0.003961
63,7388.4,0.75408,0.42686,0.86967,0.82476,0.7403,0.7975,0.48677,1.19043,0.64758,1.00434,0.003862,0.003862,0.003862
64,7506.43,0.75031,0.42412,0.86949,0.84994,0.73058,0.80247,0.49233,1.19246,0.64375,1.00496,0.003763,0.003763,0.003763
65,7666.65,0.74719,0.42245,0.86849,0.84498,0.73908,0.80226,0.48911,1.19355,0.64418,1.00412,0.003664,0.003664,0.003664
66,7762.9,0.74274,0.42032,0.86655,0.83166,0.73708,0.8008,0.49195,1.19088,0.64757,1.00161,0.003565,0.003565,0.003565
67,7912.5,0.7382,0.41869,0.86607,0.83692,0.74124,0.80178,0.49564,1.18899,0.64725,1.00227,0.003466,0.003466,0.003466
68,8026.25,0.73578,0.41601,0.86448,0.85767,0.71883,0.79849,0.49314,1.19049,0.64682,1.00262,0.003367,0.003367,0.003367
69,8108.67,0.73091,0.41477,0.86432,0.83983,0.73268,0.79814,0.49368,1.18829,0.64791,1.0012,0.003268,0.003268,0.003268
70,8190.82,0.72819,0.41431,0.86413,0.85548,0.72578,0.7943,0.49131,1.189,0.64968,1.00211,0.003169,0.003169,0.003169
71,8273.11,0.72214,0.40973,0.86191,0.84809,0.73652,0.7911,0.49178,1.19046,0.65323,1.00291,0.00307,0.00307,0.00307
72,8394.89,0.71876,0.40812,0.86164,0.8311,0.73934,0.7912,0.49008,1.19197,0.65181,1.00348,0.002971,0.002971,0.002971
73,8481.81,0.71299,0.40515,0.85989,0.85054,0.72711,0.79549,0.492,1.19019,0.65252,1.00515,0.002872,0.002872,0.002872
74,8638.21,0.71524,0.40585,0.86036,0.85891,0.72179,0.7996,0.48991,1.19057,0.65197,1.00616,0.002773,0.002773,0.002773
75,8746.24,0.70636,0.40159,0.85758,0.85324,0.71913,0.79726,0.49155,1.19027,0.64904,1.00569,0.002674,0.002674,0.002674
76,8830.86,0.70123,0.40004,0.85644,0.8589,0.71858,0.79269,0.49126,1.19091,0.65168,1.00441,0.002575,0.002575,0.002575
77,9065.81,0.69901,0.39777,0.85618,0.85126,0.72542,0.79511,0.49264,1.19128,0.64976,1.00526,0.002476,0.002476,0.002476
78,9148.8,0.69601,0.39708,0.85533,0.84675,0.72613,0.79709,0.49312,1.19085,0.64995,1.00631,0.002377,0.002377,0.002377
79,9278.62,0.69299,0.39409,0.85499,0.8416,0.73192,0.79373,0.49288,1.19041,0.65072,1.00593,0.002278,0.002278,0.002278
80,9362.1,0.68845,0.39343,0.85468,0.84066,0.73656,0.7955,0.49241,1.19057,0.64977,1.00735,0.002179,0.002179,0.002179
81,9540.71,0.68973,0.39258,0.85466,0.85052,0.7232,0.79871,0.4943,1.19256,0.65118,1.0087,0.00208,0.00208,0.00208
82,9623.45,0.68284,0.38919,0.85341,0.84919,0.72376,0.79694,0.49293,1.19399,0.65238,1.0086,0.001981,0.001981,0.001981
83,9756.97,0.68306,0.38915,0.8535,0.85309,0.71651,0.79666,0.49371,1.19344,0.65175,1.00868,0.001882,0.001882,0.001882
84,9843.15,0.6727,0.38444,0.85131,0.85083,0.71817,0.79646,0.49314,1.19684,0.65342,1.01104,0.001783,0.001783,0.001783
85,9925.73,0.66854,0.3828,0.85002,0.85133,0.71885,0.79537,0.49214,1.19684,0.65498,1.01081,0.001684,0.001684,0.001684
86,10097.7,0.66699,0.3814,0.85009,0.85542,0.71043,0.79362,0.49259,1.19753,0.65629,1.01083,0.001585,0.001585,0.001585
87,10182.7,0.66524,0.38144,0.84917,0.84648,0.72105,0.79502,0.49139,1.19871,0.65676,1.01275,0.001486,0.001486,0.001486
88,10330.9,0.6597,0.37844,0.84836,0.84734,0.72248,0.79485,0.49063,1.19892,0.65702,1.01334,0.001387,0.001387,0.001387
89,10444.8,0.65735,0.37738,0.84785,0.84078,0.72619,0.79427,0.4913,1.19827,0.6563,1.01264,0.001288,0.001288,0.001288
90,10527.6,0.65178,0.37462,0.84622,0.83817,0.72348,0.79494,0.49182,1.19814,0.65672,1.01204,0.001189,0.001189,0.001189
91,10625.1,0.61202,0.34573,0.83021,0.86734,0.70848,0.79583,0.49192,1.19862,0.65703,1.01227,0.00109,0.00109,0.00109
92,10704.6,0.59194,0.33752,0.82644,0.87337,0.70265,0.7942,0.49021,1.19988,0.65788,1.01309,0.000991,0.000991,0.000991
93,10784.2,0.57989,0.3325,0.82456,0.86183,0.70695,0.79425,0.4897,1.20146,0.661,1.01384,0.000892,0.000892,0.000892
94,10863.6,0.57402,0.32996,0.82191,0.84693,0.71674,0.79374,0.48927,1.20205,0.66286,1.01454,0.000793,0.000793,0.000793
95,10943.4,0.56887,0.32706,0.82247,0.85782,0.71241,0.79395,0.4896,1.20244,0.66413,1.0148,0.000694,0.000694,0.000694
96,11023.1,0.56254,0.32452,0.82028,0.85173,0.71564,0.79389,0.48977,1.20311,0.66519,1.01541,0.000595,0.000595,0.000595
97,11102.8,0.55529,0.32211,0.81874,0.86165,0.70911,0.79214,0.48863,1.2034,0.66675,1.0159,0.000496,0.000496,0.000496
98,11182,0.54884,0.31875,0.81865,0.87286,0.70484,0.79307,0.48872,1.20302,0.66678,1.0162,0.000397,0.000397,0.000397
99,11262,0.54714,0.3175,0.8184,0.8721,0.70256,0.79205,0.48816,1.20328,0.66784,1.01681,0.000298,0.000298,0.000298
100,11342.5,0.54208,0.31638,0.81745,0.86976,0.70384,0.79094,0.48818,1.20351,0.6688,1.01739,0.000199,0.000199,0.000199
